,calificaciones,fechas,reseñas,autor
809,5 de 5. Excelente,13 de jun de 2018,"This hotel is perfect on location and staff the guys are great, they always have a smile.","Antonio, California"
810,5 de 5. Excelente,12 de jun de 2018,Excellent choice if you want to have a great experience visiting Mexico City's Historic Center. Highly recommended hotel!!,"Ernie, Guatemala"
811,5 de 5. Excelente,11 de jun de 2018,Sin reseña,Niansen
812,5 de 5. Excelente,10 de jun de 2018,Perfect yo most attractions,Cliente verificado
813,5 de 5. Excelente,10 de jun de 2018,"Experience was great , thank you Jorge for filling our day with laughter","Alicia, Riverside"
814,5 de 5. Excelente,10 de jun de 2018,"Amazing hotel, 30 min by taxi from airport , best city location ln historic center, great buffet at cafe Ciudad de Mexico, our favorite today lentil soup with pork.","Nick, Florida"
815,5 de 5. Excelente,10 de jun de 2018,Staff is very helpful and hotel is very clean. Location is close to everything.,Cliente verificado
816,4 de 5. Bueno,9 de jun de 2018,Italy conveniently located near many restaurants,Cliente verificado
817,5 de 5. Excelente,9 de jun de 2018,Front desk was friendly and always responsive to any request.,Cliente verificado
818,5 de 5. Excelente,5 de jun de 2018,Sin reseña,Cliente verificado
819,4 de 5. Bueno,4 de jun de 2018,Great hotel. Amazing service. My only issue is location. If you have to be in el centro then its great but my next trip i would stay in condessa or polanco.,Aaron
820,5 de 5. Excelente,12 de jun de 2018,Excellent choice if you want to have a great experience visiting Mexico City's Historic Center. Highly recommended hotel!!,"Ernie, Guatemala"
821,5 de 5. Excelente,11 de jun de 2018,Sin reseña,Niansen
822,5 de 5. Excelente,10 de jun de 2018,Perfect yo most attractions,Cliente verificado
823,5 de 5. Excelente,10 de jun de 2018,"Experience was great , thank you Jorge for filling our day with laughter","Alicia, Riverside"
824,5 de 5. Excelente,10 de jun de 2018,"Amazing hotel, 30 min by taxi from airport , best city location ln historic center, great buffet at cafe Ciudad de Mexico, our favorite today lentil soup with pork.","Nick, Florida"
825,5 de 5. Excelente,10 de jun de 2018,Staff is very helpful and hotel is very clean. Location is close to everything.,Cliente verificado
826,4 de 5. Bueno,9 de jun de 2018,Italy conveniently located near many restaurants,Cliente verificado
827,5 de 5. Excelente,9 de jun de 2018,Front desk was friendly and always responsive to any request.,Cliente verificado
828,5 de 5. Excelente,5 de jun de 2018,Sin reseña,Cliente verificado
829,4 de 5. Bueno,4 de jun de 2018,Great hotel. Amazing service. My only issue is location. If you have to be in el centro then its great but my next trip i would stay in condessa or polanco.,Aaron
830,5 de 5. Excelente,17 de may de 2018,"The hotel is extremely beautiful, it looks antique and elegant, it is a very nice hotel, maybe the restaurant needs to match the beauty and elegance of the hotel, it should be a much better restaurant.",Gerardo
831,4 de 5. Bueno,17 de may de 2018,とても質の高いサービスと、ホスピタリティーがあるホテルです。 ただ、エアコンの調整が出来ず、寒い思いをしました。,Cliente verificado
832,5 de 5. Excelente,15 de may de 2018,Sin reseña,Cliente verificado
833,5 de 5. Excelente,15 de may de 2018,"beautiful hotel, in a great part of town, lots to do","keith, aspen colorado"
834,5 de 5. Excelente,14 de may de 2018,You can not find a better location than this. It’s right on the constitution plaza. From the window you can see the cathedral and palacio nacional. Beautiful interior with historical features like the elevator and the stained glass ceiling. Staff was incredibly nice and helpful. All speak realllt good English,Cliente verificado
835,5 de 5. Excelente,13 de may de 2018,Close to the main sights in Mexico City. Lovely experience,"Dutchman, San Diego"
836,5 de 5. Excelente,12 de may de 2018,We stayed here for our honeymoon and it was so romantic!!!! The dinner at the restaurant Terrza made us felt first romantic. And the interiors of the whole hotel reminded us the movie “ Grand Budapest Hotel”. We will definetly recommend to family and friends to stay for Mexico city’s stay.,Cliente verificado
837,5 de 5. Excelente,11 de may de 2018,Was given complimentary upgrade to large room overlooking main square. Excellent service.,Cliente verificado
838,5 de 5. Excelente,11 de may de 2018,"such a warm welcome, really nice tough to have a special honeymoon platter in room and champagne at front desk",Cliente verificado
839,5 de 5. Excelente,10 de may de 2018,Sin reseña,Cliente verificado
840,5 de 5. Excelente,9 de may de 2018,フロントでのウェルカムシャンパンに気を良くし、建物やエレベーターの歴史的な重厚感を感じ、それを丁寧に説明してもらいながら部屋に案内してもらうとそこにウェルカムスウィーツと風船が飾られていました。レストランでソカロを眺めながらの食事も美味しかったしお姫様気分で滞在できました。 次はもっと長く滞在したいです。,"ふとち, 東京"
841,5 de 5. Excelente,7 de may de 2018,Never had such accomidations anywhere else in the world so far. Very courteous staff and professional. The historic hotel takes back in time. I definitely recommend this hotel to be one of the best in Mexico City.,"Mem9, USA"
842,5 de 5. Excelente,7 de may de 2018,"O hotel está muito bem localizado, os funcionários muito gentis e prestativos e o conforto é inigualável, mas o restaurante, localizado no terraço em frente à Praça da Constituição, não dá prioridade aos hóspedes. Assim, mesmo reservando uma mesa, os hóspedes ficam em segundo plano. Uma pena!",Cliente verificado
843,5 de 5. Excelente,6 de may de 2018,Perfect Hotel!!! Everything was perfect.,"Marco, Downey California"
844,5 de 5. Excelente,4 de may de 2018,"If you're looking for a hotel in a centralized location, this is it. Excellent location and staff. The only drawback was parking because only valet parking is offered and it closes at 10pm. You're stuck until 6am if you don't retrieve prior.",Cliente verificado
845,5 de 5. Excelente,3 de may de 2018,"Great Service! The welcoming was the best I have had! The guy was super friendly and was giving us a brief history of the hotel. They gave us champagne when we were checking in. Rooms and bathroom clean. It is a beautiful historic hotel. Everything is walking distance. There are small grocery and a pharmacy next to it. There is also a Cielito Querido coffee place right next to it, which I love! I do not know about the food because we did not eat there. I definitely recommend it!",Cliente verificado
846,5 de 5. Excelente,30 de abr de 2018,"Beautiful hotel, great rooms (they even have a pillow menu) and great central location.",Samy
847,5 de 5. Excelente,30 de abr de 2018,Amazing!!! Had the best rib eye bbq steak ever at a million dollar view from the roof top restaurant. We even went back to enjoy a brunch the next morning. The best hotel ever!!!,Jacqueline
848,5 de 5. Excelente,27 de abr de 2018,素晴らしかったです。はじめてのメキシコシティ滞在に利用させていただきました。大きな吹き抜けを彩るステンドグラスがとにかくキレイです。昔ながらのエレベーターにも乗せてもらえます。 シティ観光にも便利な立地で、優雅な時間を過ごすことができました。また訪れたいホテルです。ありがとうございました。,HIDEAKI
849,5 de 5. Excelente,25 de abr de 2018,I like it. I like it. I like it. I like it. I like it. I like it.,Cliente verificado
850,5 de 5. Excelente,25 de abr de 2018,absolutely loved this place. They make you feel soooo special and the location is unbeatable.,Michal
851,5 de 5. Excelente,24 de abr de 2018,great location and beautiful place to spend a weekend in DF may be a little far from good restaurants and night life,"marco, houston"
852,5 de 5. Excelente,24 de abr de 2018,"although our stay was brief, this is by far the nicest hotel we have ever stayed in. Not only does the grandeur blow your socks off, the hotel staff is amazing! Our next visit will be longer for sure!","Sharon, Sundre, Alberta, Canada"
853,5 de 5. Excelente,24 de abr de 2018,"Lots of restaurants, bars, and historic sites. Walking distance, shops.",Cliente verificado
854,5 de 5. Excelente,21 de abr de 2018,"Beautiful hotel, great location, incredibly helpful stuff!",Cliente verificado
855,5 de 5. Excelente,20 de abr de 2018,"Great hotel, great service. Would definitely stay again.",Cliente verificado
856,5 de 5. Excelente,20 de abr de 2018,One of the most beutiful hotels i have ever stayed in with the friendliest staff.,Cliente verificado
857,3 de 5. Aceptable,18 de abr de 2018,The mattress in my room was in need of replacement. It was so worn it offered no support and I am still dealing with a sore back.,Cliente verificado
858,5 de 5. Excelente,18 de abr de 2018,The hotel is absolutely beautiful. The restaurant’s arw wonderful. The staff was very friendly and helpful.,"Cheryl, Crntral California"
859,4 de 5. Bueno,14 de abr de 2018,A really interesting place to stay. The hotel has a lot of character and is brilliantly located for wandering around the 'safe' historic centre of Mexico City.,Cliente verificado
860,5 de 5. Excelente,25 de abr de 2018,absolutely loved this place. They make you feel soooo special and the location is unbeatable.,Michal
861,5 de 5. Excelente,24 de abr de 2018,great location and beautiful place to spend a weekend in DF may be a little far from good restaurants and night life,"marco, houston"
862,5 de 5. Excelente,24 de abr de 2018,"although our stay was brief, this is by far the nicest hotel we have ever stayed in. Not only does the grandeur blow your socks off, the hotel staff is amazing! Our next visit will be longer for sure!","Sharon, Sundre, Alberta, Canada"
863,5 de 5. Excelente,24 de abr de 2018,"Lots of restaurants, bars, and historic sites. Walking distance, shops.",Cliente verificado
864,5 de 5. Excelente,21 de abr de 2018,"Beautiful hotel, great location, incredibly helpful stuff!",Cliente verificado
865,5 de 5. Excelente,20 de abr de 2018,"Great hotel, great service. Would definitely stay again.",Cliente verificado
866,5 de 5. Excelente,20 de abr de 2018,One of the most beutiful hotels i have ever stayed in with the friendliest staff.,Cliente verificado
867,3 de 5. Aceptable,18 de abr de 2018,The mattress in my room was in need of replacement. It was so worn it offered no support and I am still dealing with a sore back.,Cliente verificado
868,5 de 5. Excelente,18 de abr de 2018,The hotel is absolutely beautiful. The restaurant’s arw wonderful. The staff was very friendly and helpful.,"Cheryl, Crntral California"
869,4 de 5. Bueno,14 de abr de 2018,A really interesting place to stay. The hotel has a lot of character and is brilliantly located for wandering around the 'safe' historic centre of Mexico City.,Cliente verificado
870,5 de 5. Excelente,26 de mar de 2018,The hotel is a historic gem. The staff is outstanding. The location is perfect for tourists. I recommend this hotel to anyone traveling to Mexico City.,Scott
871,5 de 5. Excelente,25 de mar de 2018,Fantastic old style hotel in the heart of the historic city centre. Huge rooms. Staff very helpful.,Cliente verificado
872,4 de 5. Bueno,24 de mar de 2018,"Historically unique hotel with several nice details. I'll probably be back! Powerful terrace at the top but the menu feels old and not particularly exciting! If you wish to have your clothes washed, you can expect 12 hours according to the hotel's own information. How is it possible? Will they send them clothes to Guatemala for washing there or what .. What about my clothes I had to remind the hotel about this and it took 14 hours before I had my clothes again !! Terribly bad which obviously affects the overall impression",Tomas
873,5 de 5. Excelente,23 de mar de 2018,"Staff was great at check in, they offered you champagne a check in, they gave me a free upgrade so I had view to National Palace and Zocalo. the bell boy was very friendly, rooms are spacious and clean, a little old but in perfect conditions and with all ammenities, water, coffee, etc.","Enrique, Tijuana"
874,5 de 5. Excelente,23 de mar de 2018,We had a great experience and would definitely return to the Gran Hotel. The staff is great and helpful. The hotel has a great location in the city center. We would definitely return to the same hotel.,"James, San Antonio, Texas"
875,4 de 5. Bueno,22 de mar de 2018,"Enjoyed our stay here, the staff was helpful and friendly. Really a plus that hotel guests receive a 25% discount in their restaraunts. Some areas could use a little dusting.",Steven
876,5 de 5. Excelente,22 de mar de 2018,"This is such a beautiful hotel and the location is fantastic. The staff & customer service is top notch. Special shout out to Javier, Mariana, & Enrique who were super friendly and helpful. We would stay here again if we were to come back to Mexico City!!",Patrick
877,5 de 5. Excelente,21 de mar de 2018,Sin reseña,Iñaki
878,5 de 5. Excelente,21 de mar de 2018,ホテルの入り口はチョット分かりにくい所にあったけど周りもレストランとかも多くとても良いホテルでした。ホテルの家具などもセンスが良く良かったです。また使いたいと思います。,Cliente verificado
879,5 de 5. Excelente,19 de mar de 2018,This hotel is ideally located to explore the historic district. It is beautiful and comfortable. The service was very good.,"Anissa, The Woodlands TX"
880,5 de 5. Excelente,26 de mar de 2018,The hotel is a historic gem. The staff is outstanding. The location is perfect for tourists. I recommend this hotel to anyone traveling to Mexico City.,Scott
881,5 de 5. Excelente,25 de mar de 2018,Fantastic old style hotel in the heart of the historic city centre. Huge rooms. Staff very helpful.,Cliente verificado
882,4 de 5. Bueno,24 de mar de 2018,"Historically unique hotel with several nice details. I'll probably be back! Powerful terrace at the top but the menu feels old and not particularly exciting! If you wish to have your clothes washed, you can expect 12 hours according to the hotel's own information. How is it possible? Will they send them clothes to Guatemala for washing there or what .. What about my clothes I had to remind the hotel about this and it took 14 hours before I had my clothes again !! Terribly bad which obviously affects the overall impression",Tomas
883,5 de 5. Excelente,23 de mar de 2018,"Staff was great at check in, they offered you champagne a check in, they gave me a free upgrade so I had view to National Palace and Zocalo. the bell boy was very friendly, rooms are spacious and clean, a little old but in perfect conditions and with all ammenities, water, coffee, etc.","Enrique, Tijuana"
884,5 de 5. Excelente,23 de mar de 2018,We had a great experience and would definitely return to the Gran Hotel. The staff is great and helpful. The hotel has a great location in the city center. We would definitely return to the same hotel.,"James, San Antonio, Texas"
885,4 de 5. Bueno,22 de mar de 2018,"Enjoyed our stay here, the staff was helpful and friendly. Really a plus that hotel guests receive a 25% discount in their restaraunts. Some areas could use a little dusting.",Steven
886,5 de 5. Excelente,22 de mar de 2018,"This is such a beautiful hotel and the location is fantastic. The staff & customer service is top notch. Special shout out to Javier, Mariana, & Enrique who were super friendly and helpful. We would stay here again if we were to come back to Mexico City!!",Patrick
887,5 de 5. Excelente,21 de mar de 2018,Sin reseña,Iñaki
888,5 de 5. Excelente,21 de mar de 2018,ホテルの入り口はチョット分かりにくい所にあったけど周りもレストランとかも多くとても良いホテルでした。ホテルの家具などもセンスが良く良かったです。また使いたいと思います。,Cliente verificado
889,5 de 5. Excelente,19 de mar de 2018,This hotel is ideally located to explore the historic district. It is beautiful and comfortable. The service was very good.,"Anissa, The Woodlands TX"
890,5 de 5. Excelente,4 de mar de 2018,"Great hotel, location and staff, everyone is super professional and welcoming, can’t wait to be back as my entire experience was fantastic and Gran hotel and Mexico are awesome",Cliente verificado
891,5 de 5. Excelente,3 de mar de 2018,"Great location, service, and very reasonable price",Cliente verificado
892,5 de 5. Excelente,2 de mar de 2018,"Wunderbares, klassisches stilvolles Gebäude",Winfried
893,5 de 5. Excelente,1 de mar de 2018,"great place to stay while visiting mexico city. hotel is very near to tourist sites and the staff were very friendly. note that uber/taxi drop off and pick up is at the junction of zocalo square, 1 min walk from hotel, and not on front of hotel as the road outside of hotel is for pedestrian only.","zj, singapore"
894,4 de 5. Bueno,27 de feb de 2018,"We spent 5 nights at the Gran Hotel. The staff were absolutely superb, the facilities were good considering it is a heritage hotel, and the food was mixed (Breakfast and lunch were excellent, dinner was very average. We had all breakfasts and some lunches at the hotel but no dinners after the first night.","Kevin, Calgary, Canada"
895,5 de 5. Excelente,26 de feb de 2018,"The building is very beautiful. My room looked out at on the Zocalo, a constant show of flags, bands, festivals, and music, but not noisy. The staff were very helpful. There were some glitches with the lock and key not working on-goingly but all in all I was MOST happy with the choice for me for this trip.","Anne, Baltimore Washington area"
896,5 de 5. Excelente,25 de feb de 2018,"A beautiful, historic hotel in the heart of the old city center. Wonderful museums within easy walking distance. The hotel staff and service were outstanding.",Robert
897,5 de 5. Excelente,25 de feb de 2018,"Hotel is amazing, you get amazed on every place you look. Reception staff Gabriela, Jose Luis, Jaime and Enrique were very friendly and helpfull. On roof top there is the restaurant with exceptional view of Zocalo, special thanks for Elmer and Marcelo for great service.",Chan
898,5 de 5. Excelente,25 de feb de 2018,"Great location at the heart of central historic district, great facilities, great service and great value add provisions. Although we booked a single bed room, the hotel was flexible enough to provide us a 2-beds room upon our late arrival of the day, and even surprised us with Valentine's day sweets in the room! Welcome drinks at the reception, fruits, water and coffee machine in room provided. Last but not least, the hotel history tour is a charm! Loving every single details of the hotel, and all staffs are welcoming. Will definitely recommend this hotel to anyone who are looking to stay in Mexico City.","Rosa, Hong Kong"
899,5 de 5. Excelente,24 de feb de 2018,Sin reseña,Gabriel
900,5 de 5. Excelente,23 de feb de 2018,"The hotel is late colonial in building style with some spectacular features, especially stained glass roof. We were made to feel truly like guests rather than customers, from the manager to the doorman. We went on a reduced cost offer but still we were given a wonderful room with view over to the famous cathedral and Zocolo. Help with getting taxis or absolutely anything we wanted to have or do.",Rosemary
901,5 de 5. Excelente,23 de feb de 2018,"The only feedback I have is that I am the Expedia Gold member and I was upgrade to a JR suite, while my guests were upgraded to a Master Suite. The only bad experience was that they were filming on we couldn't chat while we were in the lobby or take pictures. We were told to be quite or to leave the building. Other than that, great Hotel","Reyna, Long Beach, CA"
902,4 de 5. Bueno,22 de feb de 2018,居間と寝室が別々のスイート型。広々として家具調度もクオリティが高い。寝室には４隅に柱のあるカーテンで囲われたベッド。洗面所も広々と快適。観光にも食事にも申し分ない立地。受付は良くも悪しくもいかにも五つ星（当サイトでは四つ星となっているが実際には五つ星だったかと）。値段はリーズナブル。但し最上階のレストランには少々失望。スタッフは多いのだがサービスが遅い。客に対してアテンティブとも思えない。黙っていても普通に出てくるトルティーヤチップスとサルサも言わなきゃ持ってこなかったし、ビールが終わる頃になってもまだ前菜のサラダが出なくてこれも催促する羽目に。ワインリスト頼んだらウェイトレスは同僚と喋りながらこちらに顔も向けずポイと置いていった（あのマナー）。料理も値段の割にいまいち。というわけでレストランのサービスが減点。それ以外はまあ快適。,Cliente verificado
903,5 de 5. Excelente,22 de feb de 2018,Great location - right on the zocalo. Nice amenities. Staff and welcome was wonderful - especially the complimentary champagne. Building is historic and beautiful. Noisy AC in our room was only issue. Lovely view on the zocalo.,Cliente verificado
904,5 de 5. Excelente,18 de feb de 2018,"Hotel com excelentes condições e conforto, muito bom atendimento, cordialidade e serviços de qualidade. Fica em área central da cidade e ao lado dos principais locais históricos para conhecer. Recomendamos!",Camile
905,5 de 5. Excelente,17 de feb de 2018,"Hotel lindíssimo, onde se realizou recepção de casamento de minha filha. Todos os hóspedes eram conhecidos do novo casal, a festa durou até a madrugada, encerrando com um brunch no domingo, com bela vista para o Zócalo",Cliente verificado
906,5 de 5. Excelente,17 de feb de 2018,"Casamento de minha filha com festa realizada no Gran Hotel Ciudad De México. Tudo transcorreu bem, exceto por pequenas falhas como sumiço de enfeite do bolo e algumas amenidades colocadas nos toaletes, mas nada que comprometesse a festa! Bufê do hotel muito saboroso!",Cliente verificado
907,5 de 5. Excelente,15 de feb de 2018,We had excellent stay in a master suite facing out on the square. We will return to this classic and beautiful hotel.,"Rich, Kilmarnock, Virginia USA"
908,5 de 5. Excelente,10 de feb de 2018,Sin reseña,Cosmos
909,5 de 5. Excelente,8 de feb de 2018,"It is located in central of downtown,so easy to go wondering around with principle places.And all the staff with smile. Free update of the rooms. Good location also for local pepple.","Yamila, China"
910,5 de 5. Excelente,5 de feb de 2018,"The staff is so nice , upgrade the room v.v yeah~ The hotel view is amazing !!!! Classic style","riva, california"
911,5 de 5. Excelente,4 de feb de 2018,"Not exactly a five-star hotel as advertised, with the range and quality of amenities and food not always the best, but nonetheless, a hotel of character with a kind, charming staff.",Cliente verificado
912,5 de 5. Excelente,4 de feb de 2018,"The art deco design of the hotel is breathtaking. The atrium with its colourful Tiffany glass roof, the delicate wrought iron elevators and canary cages put a smile on our faces each time we entered. Complementary coffee and wine at the reception desk is a nice touch.","Diane, Toronto"
913,5 de 5. Excelente,2 de feb de 2018,"I had my first experience in this hotel as a very young woman and had fond memories of my stay. Thirty years later, I haven't been disappointed. Great place to experience everything that is Downtown, and my room had a great view of te Zocalo.","Gloria, Los Angeles"
914,4 de 5. Bueno,1 de feb de 2018,Every thing is good only no heater facility. Only provided a separate heater of which is not enough warm at night. Also the light of the electricity heater is bright when on. The whole night I could not sleep well. Cold and bright in the room.,Choi San
915,4 de 5. Bueno,31 de ene de 2018,"What a lovely old hotel, the atrium is beyond spectacular and the staff where amazing and very helpful, nice comfortable rooms and a great view from the restaurant at the top. location location location right on the main square and surrounded by great walkable areas, literally surrounded by culture and history","Matthew, Victoria, BC Canada"
916,5 de 5. Excelente,30 de ene de 2018,Great location and service was amazing. No complaints,Luis Alejandro
917,5 de 5. Excelente,30 de ene de 2018,"The stay in this hotel was amazing and all the staff were very friendly, I would recommend anyone to stay here.","randy, Brookly, NY"
918,5 de 5. Excelente,26 de ene de 2018,"From the very friendly couple who walked me from the bus to the doorman who greeted me by name and on and on, my stay here was so very p,easant.","Sally, Merida, Yucatan"
919,5 de 5. Excelente,25 de ene de 2018,We stayed at this wonderful hotel which has an out of this world atrium. Personnel was extremely courteous and anazingly knowledgeable. Price wise not bad for a hotel this category and most important for the location whci is close to everything you need to know.,Cliente verificado
920,5 de 5. Excelente,5 de feb de 2018,"The staff is so nice , upgrade the room v.v yeah~ The hotel view is amazing !!!! Classic style","riva, california"
921,5 de 5. Excelente,4 de feb de 2018,"Not exactly a five-star hotel as advertised, with the range and quality of amenities and food not always the best, but nonetheless, a hotel of character with a kind, charming staff.",Cliente verificado
922,5 de 5. Excelente,4 de feb de 2018,"The art deco design of the hotel is breathtaking. The atrium with its colourful Tiffany glass roof, the delicate wrought iron elevators and canary cages put a smile on our faces each time we entered. Complementary coffee and wine at the reception desk is a nice touch.","Diane, Toronto"
923,5 de 5. Excelente,2 de feb de 2018,"I had my first experience in this hotel as a very young woman and had fond memories of my stay. Thirty years later, I haven't been disappointed. Great place to experience everything that is Downtown, and my room had a great view of te Zocalo.","Gloria, Los Angeles"
924,4 de 5. Bueno,1 de feb de 2018,Every thing is good only no heater facility. Only provided a separate heater of which is not enough warm at night. Also the light of the electricity heater is bright when on. The whole night I could not sleep well. Cold and bright in the room.,Choi San
925,4 de 5. Bueno,31 de ene de 2018,"What a lovely old hotel, the atrium is beyond spectacular and the staff where amazing and very helpful, nice comfortable rooms and a great view from the restaurant at the top. location location location right on the main square and surrounded by great walkable areas, literally surrounded by culture and history","Matthew, Victoria, BC Canada"
926,5 de 5. Excelente,30 de ene de 2018,Great location and service was amazing. No complaints,Luis Alejandro
927,5 de 5. Excelente,30 de ene de 2018,"The stay in this hotel was amazing and all the staff were very friendly, I would recommend anyone to stay here.","randy, Brookly, NY"
928,5 de 5. Excelente,26 de ene de 2018,"From the very friendly couple who walked me from the bus to the doorman who greeted me by name and on and on, my stay here was so very p,easant.","Sally, Merida, Yucatan"
929,5 de 5. Excelente,25 de ene de 2018,We stayed at this wonderful hotel which has an out of this world atrium. Personnel was extremely courteous and anazingly knowledgeable. Price wise not bad for a hotel this category and most important for the location whci is close to everything you need to know.,Cliente verificado
930,5 de 5. Excelente,8 de ene de 2018,"Beautiful hotel, amazing staff, from check in to check out, great service and can't wait to go back!",Sarah
931,4 de 5. Bueno,7 de ene de 2018,"We only stayed there for 1 day, which is also the last day of our Mexico trip. The hotel's location is perfect, just near the Zocalo square, National Palace and many other tourist spots, so you can walk to any of them. The shortage is about the car parking, we've got a car, although the hotel provide valet parking, bu it costed a lot, especially when we wanted to pick it up the second day, it took us almost 1 hr waiting.",Cliente verificado
932,4 de 5. Bueno,3 de ene de 2018,"Old fashioned hotel. In an old-fashioned way, if that makes sense. Superfriendly staff, pleasant rooms. The one complaint: the breakfast should be improved.",Tobias
933,5 de 5. Excelente,2 de ene de 2018,Loved our stay here. The hotel was beautiful and the location was great,"Drew, State College, PA"
934,5 de 5. Excelente,1 de ene de 2018,"Hotel location can't be better if you want to explore the Central Historical area. Most of the attractions are within walking distance and you can get a panoramic view of the square from the Terrace restaurant. The Hotel itself is very beautiful (it is featured in the opening five minutes of the movie Spectre). The room was a little bit dry, but Mexico City in general was really dry.",Jenny
935,5 de 5. Excelente,1 de ene de 2018,"When I walked into the hotel I felt like I was in a movie and I was the princess! The hotel is beautiful! It’s magical. The staff is fantastic. Some of the guys felt like they were our friends. We spent 7 days there. One was my birthday, my family called me downstairs to the piano bar we’re he had a cake, a bottle of champagne from the front desk and the piano man played happy birthday in Spanish and English. It was great. Christmas was spent upstairs at a buffet diner overlooking the Zócalo. Fantastic.","Ale, san diego, ca"
936,5 de 5. Excelente,30 de dic de 2017,Sin reseña,MASAHIKO
937,4 de 5. Bueno,26 de dic de 2017,Sin reseña,TIFANG
938,5 de 5. Excelente,20 de dic de 2017,Beautiful hotel at the right location to enjoy the amazing Mexico City historic downtown attractions.,"Hector, Miami, Florid"
939,5 de 5. Excelente,14 de dic de 2017,"We had such an amazing stay at this gem hotel... nice litttle details that were beyond expected... like a nice little welcome drink, and some sweets in our room... although a few little things about service and no having any sort of lifts or elevators for our bags from the main entrance to the lobby, nothing serious... we wanted to have a couple of drinks so we went to the Terraza and we were told it was about to be closed and it was only a buffet service... but when I mentioned we only wanted to get a drink and that we were guests in the hotel, the hostess was nice enough to get us in and found us a space in the terrace.... amazing view of the main square... the next morning after a stroll we came back and the security guard asked me if I was a guest... I wonder why he had to ask only me. lol... he actually saw me before that morning... anyhow... also, they were doing some work next to our room... it was noisy when we came back from breakfast and doing some shopping, we just wanted to lay down for a bit before we checked out... but the whole experience was great!!.... I would totally come back to stay at this hotel!!!...",Jaime
940,5 de 5. Excelente,7 de dic de 2017,"This hotel is very impressive when you walk in. It is well maintained, the staff are extremely responsive, and the location is excellent. The restaurant on the roof, La Terraza, has an impressive view of the Zocalo and the food is excellent. I would highly recommend staying here.","Dina, Washington DC"
941,5 de 5. Excelente,6 de dic de 2017,"The staff were amazing, the hotel itself is beautiful and has to be seen. Rooms were large, comfortable, clean and the entire experience makes you feel like royalty. The upstairs restaurant has amazing views and is well priced.",Cliente verificado
942,4 de 5. Bueno,4 de dic de 2017,"Great hotel, excellent service, needs heaters and winter is hard, also A/C is noisy.",Alfonso
943,4 de 5. Bueno,3 de dic de 2017,We we're very pleased with our stay at this hotel. Staff is pleasant and up forward. Decor is antique and charming. Rooms are clean and well furnished We'll return there next time we'll stop in Mexico City...,"Gti59, Brossard, Qc"
944,4 de 5. Bueno,2 de dic de 2017,Sin reseña,DANIEL
945,5 de 5. Excelente,2 de dic de 2017,Wonderful place to stay in the heart of the historic center,"Ansley, California"
946,5 de 5. Excelente,29 de nov de 2017,Everything was ok just try to keep low prices on this Hotel.,"JOSE LUIS, LAREDO TX"
947,5 de 5. Excelente,27 de nov de 2017,Beautiful historic bldg and great location to Zocalo!,"Leda, Los Angeles"
948,5 de 5. Excelente,23 de nov de 2017,Sin reseña,jaime
949,5 de 5. Excelente,22 de nov de 2017,"Everyone was so helpful and friendly, looking forward to my next trip to Mexico City and the stay at your hotel, it was Gran! Thanks for everything to all, Regards, Andrew Rios","Andrew, California"
950,5 de 5. Excelente,16 de nov de 2017,Lots of things to do withing walking distance. Loved the history of the hotel and the roof top.,Cliente verificado
951,5 de 5. Excelente,13 de nov de 2017,"Exklusiv, sauber, sehr freundliches Personsal, schönes Zimmer.",Valerie
952,4 de 5. Bueno,12 de nov de 2017,All good. Excellent location. Excellent welcoming from staff. Nothing negative about this hotel.,Cliente verificado
953,5 de 5. Excelente,11 de nov de 2017,Sin reseña,Adrian
954,5 de 5. Excelente,11 de nov de 2017,"This is the best hotel I have ever been at . The staff was great (Enrique Nolazco and Jessica Martinez), the room was incredible like a fairy tale story. I wish I cuold have stayed more nights but the hotel was full. I truly recommend this hotel for everyone","Ricado, Staten Island NY"
955,5 de 5. Excelente,10 de nov de 2017,Old historic hotel right at the Zocalo. Do yourself a favor and treat yourself to a stay at this charming classic hotel. Service and standard is superb!,Cliente verificado
956,4 de 5. Bueno,9 de nov de 2017,ソカロに面した格式あるホテル。 おもてなしも一流です。 客層のよさも感じられました。 部屋は広めで、景観もよかったです。,Cliente verificado
957,5 de 5. Excelente,5 de nov de 2017,Beautiful hotel. Room was a good size. Comfortable bed Friendly &helpful staff Breakfast &lunch in cafe was wonderful Lovely gifts in our room daily. Highly recommend,Cliente verificado
958,5 de 5. Excelente,4 de nov de 2017,"The hotel is gorgeous. The room was clean and very cozy. The staff is unbelievably friendly and helpful. And it’s perfectly located, within walking distance of a ton of attractions.","Levi, Tulsa"
959,4 de 5. Bueno,1 de nov de 2017,"Met drie een lang weekend verbleven in dit hele mooie hotel, perfecte ligging als uitval naar de stad. Personeel zeer vriendelijk en hulpvaardig. Kortom een fantastisch verblijf in een fantastische stad....","henk, eindhoven"
960,5 de 5. Excelente,31 de oct de 2017,Beautiful hotel. Great service. Would definitely stay there again.,scott
961,4 de 5. Bueno,29 de oct de 2017,The location was excellent. The staff the same. The beauty and history make this an outstanding place to stay.,"Alex, California"
962,5 de 5. Excelente,25 de oct de 2017,"Wonderful hotel in the heart of the city. Great experience, excellent staff and perfect views of the Cathedral and Zocalo.","Betty, Santa Ana, California"
